name,value
NUMBER_OF_SOLUTIONS,7
BEST_SOLUTION_DATE,2019-06-24 12:06:00.060
SOLVE_START_DATE,2019-06-24 12:05:32.441
SOLVE_END_DATE,2019-06-24 12:06:02.969
OBJECTIVE,800150
BEST_SOLUTION_ELAPSED,27.619
SOLVE_STATUS,FEASIBLE_SOLUTION
SEARCH_STATUS,SEARCH_STOPPED_BY_LIMIT
SOLVE_ELAPSED,30.528
CPO_NUMBER_OF_FAILS,422
MODEL_NAME,ibm.maximo.optimization.opas.modeler.OpasScheduler
CPO_TOTAL_SOLVE_TIME,29.27
MODEL_VERSION,0.6-sprintRVT-b190517
CPO_SOLVE_TIME,29.27
CPO_VERSION,12.8.0.0
CPO_NUMBER_OF_VARS,2735
CPO_EFFECTIVE_WORKERS,2
CPO_MEMORY_USAGE,132893317
CPO_EFFECTIVE_OPTIMALITY,Infinity
CPO_NUMBER_OF_SEQUENCE_VARS,0
TIME_ZONE,Etc/UTC
CPO_SEARCH_STOP_CAUSE,SearchStoppedByLimit
CPO_NUMBER_OF_INTEGER_VARS,0
CPO_EXTRACTION_TIME,0.48
MODEL_TYPE,CPO_Java
CPO_NUMBER_OF_CONSTRAINTS,5503
CPO_PRESOLVE_TIME,0.4
LANG_CODE,EN
CPO_SEARCH_STATUS,SearchStopped
CPO_NUMBER_OF_INTERVAL_VARS,2734
COUNTRY_CODE,US
