parent,zone,description,model,capacity
A380,100,LOWER HALF FUSELAGE INCLUDING RADOME LR,A380,37
100,110,RADOME LR,A380,2
100,120,AVIONICS COMPARTMENT LR,A380,4
120,123,NOSE GEAR WELL LR,A380,3
120,124,NOSE GEAR WELL LR,A380,3
120,127,NOSE GEAR WELL LR,A380,3
100,130,LOWER DECK FORWARD CARGO COMPARTMENT LR,A380,6
130,132,LOWER DECK FORWARD CARGO COMPARTMENT RH,A380,6
130,133,U/FLOOR COMPT OF LWR DECK FWD CAR COMPT LH,A380,6
130,134,U/FLOOR COMPT OF LWR DECK FWD CAR COMPT RH,A380,6
100,140,WING CENTER BOX LR,A380,4
140,143,AREA BETW KEEL BM UND WG CTR TO BOT FUSL LR,A380,4
140,144,AREA BETW KEEL BM UND WG CTR TO BOT FUSL LR,A380,4
140,145,"PRESS ZONE BETW CTR BOX, MLG & CAB FLOOR LH",A380,4
140,146,"PRESS ZONE BETW CTR BOX, MLG & CAB FLOOR RH",A380,4
140,147,MAIN LANDING GEAR AND HYDRAULIC COMPT LH,A380,4
140,148,MAIN LANDING GEAR AND HYDRAULIC COMPT RH,A380,4
100,150,LOWER DECK AFT CARGO COMPARTMENT LR,A380,6
100,160,LOWER DECK BULK CARGO COMPARTMENT LR,A380,2
160,162,LOWER DECK BULK CARGO COMPARTMENT RH,A380,2
100,170,AFT CABIN UNDERFLOOR COMPARTMENT LR,A380,2
100,190,"BELLY FAIRING, AIR COND COMPT, HYD COMPT LR",A380,12
190,191,DRY BAY AND FAIRINGS LH,A380,12
190,195,HYDRAULIC COMPARTMENT AND FAIRINGS LH,A380,12
190,196,HYDRAULIC COMPARTMENT AND FAIRINGS RH,A380,12
190,197,REAR FAIRINGS LH,A380,12
190,198,REAR FAIRINGS RH,A380,12
A380,200,UPPER HALF FUSELAGE LR,A380,70
200,210,CKPT FWD PRESSURE BHD TO CKPT PARTITION LR,A380,2
200,220,FORWARD CABIN UTILITY AREA LR,A380,12
220,221,FORWARD CABIN UTILITY AREA LH,A380,12
220,223,FORWARD CABIN UTILITY AREA LH,A380,12
220,224,FORWARD CABIN UTILITY AREA RH,A380,12
200,230,FORWARD CABIN UTILITY AREA LR,A380,12
230,231,FORWARD CABIN LH,A380,12
230,232,FORWARD CABIN RH,A380,12
230,233,FORWARD CABIN OVERHEAD COMPARTMENT LH,A380,12
230,234,FORWARD CABIN OVERHEAD COMPARTMENT RH,A380,12
200,240,MID CABIN UTILITY AREA LR,A380,12
240,243,MID CABIN UTILITY AREA LH,A380,12
240,244,MID CABIN UTILITY AREA RH,A380,12
200,250,MID CABIN UTILITY AREA LR,A380,12
250,253,MID CABIN OVERHEAD COMPARTMENT LH,A380,12
250,254,MID CABIN OVERHEAD COMPARTMENT RH,A380,12
200,260,AFT CABIN UTILITY AREA LR,A380,3
260,262,AFT CABIN RH,A380,3
200,270,AFT CABIN UTILITY AREA LR,A380,12
270,271,AFT CABIN UTILITY AREA LH,A380,12
270,272,AFT CABIN UTILITY AREA RH,A380,12
200,280,UPPER DECK MID CABIN AND UTILITY AREA BETWEEN AFT OF DOOR U2 AND AFT OF DOOR U3 SIDE,A380,14
280,284,AFT CABIN UTILITY AREA OVERHEAD COMPT RH,A380,12
200,290,UPPER DECK AFT CABIN AND UTILITY AREA BETWEEN AFT OF DOOR U3 AND REAR PRES SURE BULKHEAD,A380,12
290,292,AFT CABIN UTILITY AREA OVERHEAD COMPT RH,A380,12
A380,300,STABILIZERS AND TAIL UNIT LR,A380,30
300,310,FUSELAGE REAR SECT AFT OF AFT PRESS BHD LR,A380,10
310,311,REAR FUSELAGE SECTION LH,A380,10
310,312,REAR FUSELAGE SECTION RH,A380,10
310,313,TAIL CONE APU AIR INTAKE AREA LH,A380,10
310,315,TAIL CONE APU AND ACCESS COMPT LH,A380,10
310,317,TAIL CONE APU EXHAUST AREA LR,A380,10
310,319,THS CENTER SPAR BOX FUEL TANK LH LR,A380,10
300,320,VERTICAL STABILIZER AND RUDDER LR,A380,8
320,323,VERTICAL STABILIZER SPAR BOX LR,A380,8
320,325,VERTICAL STABILIZER TRAILING EDGE LR,A380,8
320,326,RUDDER LR,A380,8
320,327,RUDDER LR,A380,8
300,330,THS LEFT SIDE AND LEFT ELEVATOR LH,A380,10
330,336,"TRIMMABLE HORIZONTAL STA  BILIZER TRAILING EDGE, LH SIDE: LH  FROM: RIB0  TO: RIB0",A380,10
330,337,THS SPAR BOX DRY BAY LH,A380,10
330,338,338,A380,10
300,340,THS RIGHT SIDE AND RIGHT ELEVATOR RH,A380,10
340,346,THS SPAR BOX VENT TANK RH,A380,10
340,347,THS SPAR BOX DRY BAY RH,A380,10
340,348,348,A380,10
A380,400,"POWER PLANT, NACELLES AND PYLONS LR",A380,32
