id,solutionStartTime,solutionEndTime
WORKORDER_A388AWR-3C-A0000_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 06:00:00.000
WORKORDER_A388AWR-3C-AA000_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 06:00:00.000
WORKORDER_A388AWR-3C-AC000_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 06:00:00.000
WORKORDER_A388AWR-3C-AE000_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 06:00:00.000
WORKORDER_A388AWR-3C-AG000_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 06:00:00.000
WORKORDER_A388AWR-3C-AI000_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 06:00:00.000
WORKORDER_A388AWR-3C-AJ000_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 06:00:00.000
WORKORDER_A388AWR-3C-AK000_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 06:00:00.000
WORKORDER_A388AWR-3C-AM000_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 06:00:00.000
WORKORDER_A388AWR-3C-AO000_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 06:00:00.000
WORKORDER_A388AWR-3C-CA000_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 06:00:00.000
WORKORDER_A388AWR-3C-CD000_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 06:00:00.000
WORKORDER_A388AWR-3C-K0000_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 06:00:00.000
WORKORDER_AWRAF/1059_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 06:06:00.000
WORKORDER_AWRAV/0140_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 06:16:00.000
WORKORDER_AWRAV/0045_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 06:36:00.000
WORKORDER_AWRAF/0273_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 06:40:00.000
WORKORDER_AWRAF/0274_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 06:40:00.000
WORKORDER_AWRAF/0654_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 06:45:00.000
WORKORDER_AWRAF/0643_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 06:47:00.000
WORKORDER_AWRAF/0644_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 06:47:00.000
WORKORDER_AWRAF/0010_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 06:53:00.000
WORKORDER_AWRAF/0266_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 06:53:00.000
WORKORDER_AWRAF/0512_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 07:00:00.000
WORKORDER_AWRAF/0513_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 07:00:00.000
WORKORDER_AWRAF/0835_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 07:00:00.000
WORKORDER_AWRAF/0836_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 07:00:00.000
WORKORDER_AWRAF/0837_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 07:00:00.000
WORKORDER_AWRAF/0838_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 07:00:00.000
WORKORDER_AWRB853212001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 07:00:00.000
WORKORDER_AWRB858694001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 07:00:00.000
WORKORDER_AWRB859418001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 07:00:00.000
WORKORDER_AWRB859807001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 07:00:00.000
WORKORDER_AWRB866567001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 07:00:00.000
WORKORDER_AWRB868426001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 07:00:00.000
