ID,unitCode,unitName,taskForce,lastStartDate,lastEndDate,finishedReadiness,reqName,reqType,command,startDate,endDate,readinessReq,finishReadiness,unitsReq,criticality,dwellTD,dwellTR,deploymentReadiness,req_startDate
0,UC 1/6,II MEF 1st Inf Bn 6th Mardiv,II MEF,2016-05-01,2016-10-31,4,SPMAGTF II 202205,REG,AFRICOM,2022-05-01,2022-10-31,2,3,1,10,676,3.71428571429,1,2022-05-01
1,UC 1/3,III MEF 8th Inf Bn 2nd Mardiv,III MEF,2016-07-01,2016-12-31,3,UDP 202007,REG,PACOM,2020-07-10,2021-01-09,2,3,1,10,732,4.06666666667,1,2020-07-10
2,UC 3/1,I MEF 3rd Inf Bn 1st Mardiv,I MEF,2017-01-10,2017-07-09,5,SPMAGTF I 202109,REG,CENTCOM,2021-09-15,2022-03-14,2,3,1,10,615,3.3606557377,1,2021-09-15
3,UC 1/2,II MEF 1st Inf Bn 2nd Mardiv,II MEF,2017-08-20,2018-03-19,2,MEU 202208 EC,REG,CENTCOM-EC,2022-08-20,2023-03-19,2,3,1,10,519,2.45971563981,1,2022-08-20
4,UC 2/4,I MEF 2nd Inf Bn 4th Mardiv,I MEF,2016-12-25,2017-06-24,5,SPMAGTF III 202107,REG,PACOM,2021-07-01,2021-12-31,2,3,1,10,366,2.02209944751,1,2021-07-01
5,UC 3/2,II MEF 3rd Inf Bn 2nd Mardiv,II MEF,2017-03-15,2017-09-14,2,SPMAGTF II 202005,REG,AFRICOM,2020-05-01,2020-10-31,2,3,1,10,414,2.3,1,2020-05-01
6,UC 1/4,I MEF 1st Inf Bn 4th Mardiv,I MEF,2016-07-10,2017-01-09,2,SPMAGTF I 202103,REG,CENTCOM,2021-03-15,2021-09-14,2,3,1,10,913,4.98907103825,1,2021-03-15
7,UC 2/6,II MEF 2nd Inf Bn 6th Mardiv,II MEF,2014-12-25,2015-06-24,3,SPMAGTF II 201811,REG,AFRICOM,2018-11-01,2019-04-30,2,3,1,10,1226,6.77348066298,1,2018-11-01
8,UC 2/3,III MEF 1st Inf Bn 3rd Mardiv,III MEF,2017-01-01,2017-06-30,5,SPMAGTF III 202201,REG,PACOM,2022-01-01,2022-10-31,2,3,1,10,907,5.03888888889,1,2022-01-01
9,UC 2/5,I MEF 2nd Inf Bn 5th Mardiv,I MEF,2015-07-10,2016-01-09,2,MEU 202002 WC,REG,CENTCOM-WC,2020-02-20,2020-09-19,2,3,1,10,423,2.32417582418,1,2020-02-20
10,UC 1/5,I MEF 1st Inf Bn 5th Mardiv,I MEF,2016-02-20,2016-09-19,4,OEF 201906,REG,CENTCOM,2019-06-25,2019-12-24,2,3,1,10,360,2,1,2019-06-25
11,UC 2/2,II MEF 2nd Inf Bn 2nd Mardiv,II MEF,2017-05-01,2017-10-31,3,OEF 202012,REG,CENTCOM,2020-12-15,2021-06-24,2,3,1,10,458,2.50273224044,1,2020-12-15
12,UC 1/7,I MEF 1st Inf Bn 7th Mardiv,I MEF,2017-02-20,2017-09-19,3,SPMAGTF III 202007,REG,PACOM,2020-07-01,2020-12-31,2,3,1,10,373,2.06077348066,1,2020-07-01
13,UC 2/1,I MEF 2nd Inf Bn 1st Mardiv,I MEF,2016-09-15,2017-03-14,4,SPMAGTF I 202003,REG,CENTCOM,2020-03-15,2020-09-14,2,3,1,10,431,2.35519125683,1,2020-03-15
14,UC 3/2,II MEF 3rd Inf Bn 2nd Mardiv,II MEF,2017-03-15,2017-09-14,2,SPMAGTF I 201809,REG,CENTCOM,2018-09-15,2019-03-14,2,3,1,10,366,2,1,2018-09-15
15,UC 3/7,I MEF 3rd Inf Bn 7th Mardiv,I MEF,2016-06-25,2016-12-24,2,SPMAGTF II 202011,REG,AFRICOM,2020-11-01,2021-04-30,2,3,1,10,774,3.6682464455,1,2020-11-01
16,UC 1/2,II MEF 1st Inf Bn 2nd Mardiv,II MEF,2017-08-20,2018-03-19,2,MEU 202008 EC,REG,CENTCOM-EC,2020-08-20,2021-03-19,2,3,1,10,885,4.19431279621,1,2020-08-20
17,UC 1/6,II MEF 1st Inf Bn 6th Mardiv,II MEF,2016-05-01,2016-10-31,4,OEF 201912,REG,CENTCOM,2019-12-25,2020-06-24,2,3,1,10,420,2.29508196721,1,2019-12-25
18,UC 2/4,I MEF 2nd Inf Bn 4th Mardiv,I MEF,2016-12-25,2017-06-24,5,SPMAGTF III 202001,REG,PACOM,2020-01-01,2020-06-30,2,3,1,10,366,2,1,2020-01-01
19,UC 3/5,I MEF 3rd Inf Bn 5th Mardiv,I MEF,2017-09-15,2018-03-14,3,SPMAGTF III 201907,REG,PACOM,2019-07-01,2019-12-31,2,3,1,10,474,2.63333333333,1,2019-07-01
20,UC 1/8,II MEF 1st Inf Bn 8th Mardiv,II MEF,2015-08-20,2016-03-19,3,OEF 201712,REG,CENTCOM,2017-12-25,2018-06-24,2,3,1,10,646,3.04716981132,1,2017-12-25
21,UC 1/3,III MEF 8th Inf Bn 2nd Mardiv,III MEF,2016-07-01,2016-12-31,3,UDP 202201,REG,PACOM,2022-01-10,2022-07-09,2,3,1,10,366,2,1,2022-01-10
22,UC 3/4,I MEF 3rd Inf Bn 4th Mardiv,I MEF,2016-03-15,2016-09-14,3,SPMAGTF III 201901,REG,PACOM,2019-01-01,2019-06-30,2,3,1,10,839,4.58469945355,1,2019-01-01
23,UC 1/1,I MEF 1st Inf Bn 1st Mardiv,I MEF,2017-07-10,2018-01-09,3,SPMAGTF I 201909,REG,CENTCOM,2019-09-15,2020-03-14,2,3,1,10,614,3.35519125683,1,2019-09-15
24,UC 3/3,III MEF 2nd Inf Bn 3rd Mardiv,III MEF,2017-07-01,2017-12-31,4,UDP 202001,REG,PACOM,2020-01-10,2020-07-09,2,3,1,10,740,4.04371584699,1,2020-01-10
25,UC 3/6,II MEF 3rd Inf Bn 6th Mardiv,II MEF,2017-11-01,2018-04-30,4,SPMAGTF II 201911,REG,AFRICOM,2019-11-01,2020-04-30,2,3,1,10,550,3.05555555556,1,2019-11-01
26,UC 2/5,I MEF 2nd Inf Bn 5th Mardiv,I MEF,2015-07-10,2016-01-09,2,OEF 201806,REG,CENTCOM,2018-06-25,2018-12-24,2,3,1,10,898,4.90710382514,1,2018-06-25
27,UC 2/1,I MEF 2nd Inf Bn 1st Mardiv,I MEF,2016-09-15,2017-03-14,4,UDP 201807,REG,PACOM,2018-07-10,2019-01-09,2,3,1,10,483,2.68333333333,1,2018-07-10
28,UC 2/4,I MEF 2nd Inf Bn 4th Mardiv,I MEF,2016-12-25,2017-06-24,5,SPMAGTF III 201807,REG,PACOM,2018-07-01,2018-12-31,2,3,1,10,372,2.05524861878,1,2018-07-01
29,UC 3/6,II MEF 3rd Inf Bn 6th Mardiv,II MEF,2017-11-01,2018-04-30,4,MEU 202108 EC,REG,CENTCOM-EC,2021-08-20,2022-03-19,2,3,1,10,477,2.63535911602,1,2021-08-20
30,UC 2/5,I MEF 2nd Inf Bn 5th Mardiv,I MEF,2015-07-10,2016-01-09,2,OEF 202112,REG,CENTCOM,2021-12-25,2022-06-24,2,3,1,10,462,2.17924528302,1,2021-12-25
31,UC 3/1,I MEF 3rd Inf Bn 1st Mardiv,I MEF,2017-01-10,2017-07-09,5,UDP 201907,REG,PACOM,2019-07-10,2020-01-09,2,3,1,10,731,4.06111111111,1,2019-07-10
32,UC 2/6,II MEF 2nd Inf Bn 6th Mardiv,II MEF,2014-12-25,2015-06-24,3,SPMAGTF I 202009,REG,CENTCOM,2020-09-15,2021-03-14,2,3,1,10,504,2.8,1,2020-09-15
33,UC 1/3,III MEF 8th Inf Bn 2nd Mardiv,III MEF,2016-07-01,2016-12-31,3,UDP 201801,REG,PACOM,2018-01-10,2018-07-09,2,3,1,10,375,2.04918032787,1,2018-01-10
34,UC 1/6,II MEF 1st Inf Bn 6th Mardiv,II MEF,2016-05-01,2016-10-31,4,SPMAGTF II 201805,REG,AFRICOM,2018-05-01,2018-10-31,2,3,1,10,547,2.98907103825,1,2018-05-01
35,UC 2/8,II MEF 2nd Inf Bn 8th Mardiv,II MEF,2016-09-23,2017-04-22,2,OEF 202006,REG,CENTCOM,2020-06-25,2020-12-24,2,3,1,10,464,2.1990521327,1,2020-06-25
36,UC 3/3,III MEF 2nd Inf Bn 3rd Mardiv,III MEF,2017-07-01,2017-12-31,4,UDP 202207,REG,PACOM,2022-07-10,2023-01-09,2,3,1,10,731,4.03867403315,1,2022-07-10
37,UC 1/5,I MEF 1st Inf Bn 5th Mardiv,I MEF,2016-02-20,2016-09-19,4,MEU 202102 WC,REG,CENTCOM-WC,2021-02-20,2021-09-19,2,3,1,10,424,2.32967032967,1,2021-02-20
38,UC 3/4,I MEF 3rd Inf Bn 4th Mardiv,I MEF,2016-03-15,2016-09-14,3,UDP 202101,REG,PACOM,2021-01-10,2021-07-09,2,3,1,10,560,3.11111111111,1,2021-01-10
39,UC 2/7,I MEF 2nd Inf Bn 7th Mardiv,I MEF,2017-06-25,2017-12-24,5,MEU 201902 WC,REG,CENTCOM-WC,2019-02-20,2019-09-19,2,3,1,10,423,2.32417582418,1,2019-02-20
40,UC 2/3,III MEF 1st Inf Bn 3rd Mardiv,III MEF,2017-01-01,2017-06-30,5,UDP 201901,REG,PACOM,2019-01-10,2019-07-09,2,3,1,10,559,3.10555555556,1,2019-01-10
41,UC 3/5,I MEF 3rd Inf Bn 5th Mardiv,I MEF,2017-09-15,2018-03-14,3,UDP 202107,REG,PACOM,2021-07-10,2022-01-09,2,3,1,10,557,3.04371584699,1,2021-07-10
42,UC 1/7,I MEF 1st Inf Bn 7th Mardiv,I MEF,2017-02-20,2017-09-19,3,OEF 201812,REG,CENTCOM,2018-12-25,2019-06-24,2,3,1,10,462,2.18957345972,1,2018-12-25
43,UC 3/7,I MEF 3rd Inf Bn 7th Mardiv,I MEF,2016-06-25,2016-12-24,2,MEU 201802 WC,REG,CENTCOM-WC,2018-02-20,2018-09-19,2,3,1,10,423,2.32417582418,1,2018-02-20
44,UC 2/7,I MEF 2nd Inf Bn 7th Mardiv,I MEF,2017-06-25,2017-12-24,5,SPMAGTF III 202101,REG,PACOM,2021-01-01,2021-06-30,2,3,1,10,470,2.22748815166,1,2021-01-01
45,UC 3/8,II MEF 3rd Inf Bn 8th Mardiv,II MEF,2016-11-01,2017-04-30,5,SPMAGTF II 201905,REG,AFRICOM,2019-05-01,2019-10-31,2,3,1,10,731,4.06111111111,1,2019-05-01
46,UC 1/8,II MEF 1st Inf Bn 8th Mardiv,II MEF,2015-08-20,2016-03-19,3,OEF 202212,REG,CENTCOM,2022-12-25,2023-06-24,2,3,1,10,366,2.01098901099,1,2022-12-25
47,UC 1/7,I MEF 1st Inf Bn 7th Mardiv,I MEF,2017-02-20,2017-09-19,3,MEU 202202 WC,REG,CENTCOM-WC,2022-02-20,2022-09-19,2,3,1,10,416,2.27322404372,1,2022-02-20
48,UC 2/8,II MEF 2nd Inf Bn 8th Mardiv,II MEF,2016-09-23,2017-04-22,2,MEU 201808 EC,REG,CENTCOM-EC,2018-08-20,2019-03-19,2,3,1,10,485,2.29857819905,1,2018-08-20
49,UC 1/4,I MEF 1st Inf Bn 4th Mardiv,I MEF,2016-07-10,2017-01-09,2,SPMAGTF I 201803,REG,CENTCOM,2018-03-15,2018-09-14,2,3,1,10,430,2.34972677596,1,2018-03-15
50,UC 3/7,I MEF 3rd Inf Bn 7th Mardiv,I MEF,2016-06-25,2016-12-24,2,SPMAGTF III 202207,REG,PACOM,2022-07-01,2022-12-31,2,3,1,10,427,2.37222222222,1,2022-07-01
51,UC 3/8,II MEF 3rd Inf Bn 8th Mardiv,II MEF,2016-11-01,2017-04-30,5,SPMAGTF II 202211,REG,AFRICOM,2022-11-01,2023-04-30,2,3,1,10,366,2,1,2022-11-01
52,UC 2/8,II MEF 2nd Inf Bn 8th Mardiv,II MEF,2016-09-23,2017-04-22,2,OEF 202206,REG,CENTCOM,2022-06-25,2022-12-24,2,3,1,10,548,3.01098901099,1,2022-06-25
53,UC 2/2,II MEF 2nd Inf Bn 2nd Mardiv,II MEF,2017-05-01,2017-10-31,3,SPMAGTF I 201903,REG,CENTCOM,2019-03-15,2019-09-14,2,3,1,10,500,2.73224043716,1,2019-03-15
54,UC 3/8,II MEF 3rd Inf Bn 8th Mardiv,II MEF,2016-11-01,2017-04-30,5,SPMAGTF II 202105,REG,AFRICOM,2021-05-01,2021-10-31,2,3,1,10,548,2.99453551913,1,2021-05-01
55,UC 1/5,I MEF 1st Inf Bn 5th Mardiv,I MEF,2016-02-20,2016-09-19,4,SPMAGTF III 201801,REG,PACOM,2018-01-01,2018-06-30,2,3,1,10,469,2.21226415094,1,2018-01-01
56,UC 1/1,I MEF 1st Inf Bn 1st Mardiv,I MEF,2017-07-10,2018-01-09,3,SPMAGTF I 202203,REG,CENTCOM,2022-03-15,2022-09-14,2,3,1,10,731,4.03867403315,1,2022-03-15
57,UC 1/8,II MEF 1st Inf Bn 8th Mardiv,II MEF,2015-08-20,2016-03-19,3,MEU 201908 EC,REG,CENTCOM-EC,2019-08-20,2020-03-19,2,3,1,10,422,2.33149171271,1,2019-08-20
58,UC 3/2,II MEF 3rd Inf Bn 2nd Mardiv,II MEF,2017-03-15,2017-09-14,2,SPMAGTF II 202111,REG,AFRICOM,2021-11-01,2022-04-30,2,3,1,10,366,2,1,2021-11-01
59,UC 1/8,II MEF 1st Inf Bn 8th Mardiv,II MEF,2015-08-20,2016-03-19,3,OEF 202106,REG,CENTCOM,2021-06-25,2021-12-24,2,3,1,10,463,2.18396226415,1,2021-06-25
60,UC 3/4,I MEF 3rd Inf Bn 4th Mardiv,I MEF,2016-03-15,2016-09-14,3,SPMAGTF I 202209,REG,CENTCOM,2022-09-15,2023-03-14,2,3,1,10,433,2.40555555556,1,2022-09-15
