unit,assignments,dwellratio,dwelltime
UC 1/6,3,2.98907103825,547
UC 1/3,3,2.04918032787,375
UC 3/1,2,4.06111111111,731
UC 1/2,3,4.19431279621,885
UC 2/4,3,2.05524861878,372
UC 3/2,3,2,366
UC 1/4,2,2.34972677596,430
UC 2/6,2,2.8,504
UC 2/3,2,3.10555555556,559
UC 2/5,3,2.17924528302,462
UC 1/5,3,2.21226415094,469
UC 2/2,2,2.73224043716,500
UC 1/7,3,2.27322404372,416
UC 2/1,2,2.68333333333,483
UC 3/7,3,2.37222222222,427
UC 3/5,3,3.04371584699,557
UC 1/8,4,2.18396226415,463
UC 3/4,3,2.40555555556,433
UC 1/1,3,4.03867403315,731
UC 3/3,3,4.03867403315,731
UC 3/6,3,2.63535911602,477
UC 2/8,3,3.01098901099,548
UC 2/7,3,2.22748815166,470
UC 3/8,3,2.99453551913,548
