ID,unitCode,unitName,taskForce,lastStartDate,lastEndDate,finishedReadiness,reqName,reqType,command,startDate,endDate,readinessReq,finishReadiness,unitsReq,criticality,dwellTD,dwellTR,deploymentReadiness,req_startDate
0,UC 3/7,I MEF 3rd Inf Bn 7th Mardiv,I MEF,2016-06-25,2016-12-24,2,SPMAGTF III 202101,REG,PACOM,2021-01-01,2021-06-30,2,3,1,10,374,2.05494505495,1,2021-01-01
1,UC 2/3,III MEF 1st Inf Bn 3rd Mardiv,III MEF,2017-01-01,2017-06-30,5,SPMAGTF III 202001,REG,PACOM,2020-01-01,2020-06-30,2,3,1,10,366,2,1,2020-01-01
2,UC 3/7,I MEF 3rd Inf Bn 7th Mardiv,I MEF,2016-06-25,2016-12-24,2,OEF 201712,REG,CENTCOM,2017-12-25,2018-06-24,2,3,1,10,366,2.01098901099,1,2017-12-25
3,UC 2/1,I MEF 2nd Inf Bn 1st Mardiv,I MEF,2016-09-15,2017-03-14,4,SPMAGTF I 201909,REG,CENTCOM,2019-09-15,2020-03-14,2,3,1,10,366,2,1,2019-09-15
4,UC 3/6,II MEF 3rd Inf Bn 6th Mardiv,II MEF,2017-11-01,2018-04-30,4,SPMAGTF II 201905,REG,AFRICOM,2019-05-01,2019-10-31,2,3,1,10,366,2.03333333333,1,2019-05-01
5,UC 3/2,II MEF 3rd Inf Bn 2nd Mardiv,II MEF,2017-03-15,2017-09-14,2,OEF 202212,REG,CENTCOM,2022-12-25,2023-06-24,2,3,1,10,549,2.87434554974,1,2022-12-25
6,UC 2/6,II MEF 2nd Inf Bn 6th Mardiv,II MEF,2014-12-25,2015-06-24,3,JADE SWORD 202102,REG,CENTCOM,2021-02-27,2021-08-29,2,4,1,5,410,2.30337078652,1,2021-02-27
7,UC 1/6,II MEF 1st Inf Bn 6th Mardiv,II MEF,2016-05-01,2016-10-31,4,MEU 202008 EC,REG,CENTCOM-EC,2020-08-20,2021-03-19,2,3,1,10,520,2.4644549763,1,2020-08-20
8,UC 2/3,III MEF 1st Inf Bn 3rd Mardiv,III MEF,2017-01-01,2017-06-30,5,SPMAGTF III 201807,REG,PACOM,2018-07-01,2018-12-31,2,3,1,10,366,2.03333333333,1,2018-07-01
9,UC 3/5,I MEF 3rd Inf Bn 5th Mardiv,I MEF,2017-09-15,2018-03-14,3,SPMAGTF I 202009,REG,CENTCOM,2020-09-15,2021-03-14,2,3,1,10,367,2.00546448087,1,2020-09-15
10,UC 2/3,III MEF 1st Inf Bn 3rd Mardiv,III MEF,2017-01-01,2017-06-30,5,SPMAGTF III 202107,REG,PACOM,2021-07-01,2021-12-31,2,3,1,10,366,2.02209944751,1,2021-07-01
11,UC 3/1,I MEF 3rd Inf Bn 1st Mardiv,I MEF,2017-01-10,2017-07-09,5,UDP 202001,REG,PACOM,2020-01-10,2020-07-09,2,3,1,10,366,2,1,2020-01-10
12,UC 3/8,II MEF 3rd Inf Bn 8th Mardiv,II MEF,2016-11-01,2017-04-30,5,SPMAGTF II 202211,REG,AFRICOM,2022-11-01,2023-04-30,2,3,1,10,366,2,1,2022-11-01
13,UC 3/4,I MEF 3rd Inf Bn 4th Mardiv,I MEF,2016-03-15,2016-09-14,3,MEU 202202 WC,REG,CENTCOM-WC,2022-02-20,2022-09-19,2,3,1,10,407,2.22404371585,1,2022-02-20
14,UC 2/7,I MEF 2nd Inf Bn 7th Mardiv,I MEF,2017-06-25,2017-12-24,5,FOREIGN AID 202007,REG,PACOM,2020-07-22,2021-02-02,2,4,1,5,379,2.10555555556,1,2020-07-22
15,UC 1/3,III MEF 8th Inf Bn 2nd Mardiv,III MEF,2016-07-01,2016-12-31,3,UDP 201907,REG,PACOM,2019-07-10,2020-01-09,2,3,1,10,366,2.03333333333,1,2019-07-10
16,UC 3/4,I MEF 3rd Inf Bn 4th Mardiv,I MEF,2016-03-15,2016-09-14,3,FOREIGN AID 201806,REG,PACOM,2018-06-22,2019-01-24,2,3,1,5,646,3.53005464481,1,2018-06-22
17,UC 3/8,II MEF 3rd Inf Bn 8th Mardiv,II MEF,2016-11-01,2017-04-30,5,SPMAGTF II 201911,REG,AFRICOM,2019-11-01,2020-04-30,2,3,1,10,366,2,1,2019-11-01
18,UC 2/8,II MEF 2nd Inf Bn 8th Mardiv,II MEF,2016-09-23,2017-04-22,2,SPMAGTF III 202007,REG,PACOM,2020-07-01,2020-12-31,2,3,1,10,373,2.06077348066,1,2020-07-01
19,UC 3/8,II MEF 3rd Inf Bn 8th Mardiv,II MEF,2016-11-01,2017-04-30,5,SPMAGTF II 201805,REG,AFRICOM,2018-05-01,2018-10-31,2,3,1,10,366,2.03333333333,1,2018-05-01
