unit,assignments,dwellratio,dwelltime
UC 3/7,4,2.03333333333,366
UC 2/3,3,2.02209944751,366
UC 2/1,4,2,366
UC 3/6,4,2.00546448087,367
UC 3/2,3,2.0101010101,398
UC 2/6,3,5.09392265193,922
UC 1/6,3,3.5956284153,658
UC 3/5,4,2.03333333333,366
UC 3/1,3,2.18232044199,395
UC 3/8,4,2.02209944751,366
UC 3/4,3,2.46759259259,533
UC 2/7,4,2.0989010989,382
UC 1/3,3,2.04918032787,375
UC 2/8,3,2,366
UC 1/1,4,2.05687203791,434
UC 1/7,3,2.0989010989,382
UC 1/8,3,2,366
UC 2/5,3,1.98901098901,362
UC 1/5,3,2.44811320755,519
UC 2/4,3,2,366
UC 2/2,3,2.52525252525,250
UC 1/4,3,2.90710382514,532
UC 1/2,3,2.42452830189,514
UC 3/3,3,2.98907103825,547
