ID,unitCode,unitName,taskForce,lastStartDate,lastEndDate,finishedReadiness,reqName,reqType,command,startDate,endDate,readinessReq,finishReadiness,unitsReq,criticality,dwellTD,dwellTR,deploymentReadiness,req_startDate
0,UC 2/4,I MEF 2nd Inf Bn 4th Mardiv,I MEF,2016-12-25,2017-06-24,5,SPMAGTF III 202007,REG,PACOM,2020-07-01,2020-12-31,2,3,1,10,524,2.42592592593,1,2020-07-01
1,UC 1/2,II MEF 1st Inf Bn 2nd Mardiv,II MEF,2017-08-20,2018-03-19,2,SPMAGTF II 202111,REG,AFRICOM,2021-11-01,2022-04-30,2,3,1,10,592,2.1684981685,1,2021-11-01
2,UC 3/7,I MEF 3rd Inf Bn 7th Mardiv,I MEF,2016-06-25,2016-12-24,2,OEF 201712,REG,CENTCOM,2017-12-25,2018-06-24,2,3,1,10,366,2.01098901099,1,2017-12-25
3,UC 2/3,III MEF 1st Inf Bn 3rd Mardiv,III MEF,2017-01-01,2017-06-30,5,UDP 201907,REG,PACOM,2019-07-10,2020-01-09,2,3,1,10,740,4.11111111111,1,2019-07-10
4,UC 3/2,II MEF 3rd Inf Bn 2nd Mardiv,II MEF,2017-03-15,2017-09-14,2,JADE SWORD 202102,REG,CENTCOM,2021-02-27,2021-08-29,2,4,1,5,589,2.16544117647,1,2021-02-27
5,UC 1/2,II MEF 1st Inf Bn 2nd Mardiv,II MEF,2017-08-20,2018-03-19,2,MEU 201906 WC,REG,CENTCOM-WC,2019-06-20,2020-03-19,2,3,1,10,458,2.17061611374,1,2019-06-20
6,UC 3/3,III MEF 2nd Inf Bn 3rd Mardiv,III MEF,2017-07-01,2017-12-31,4,SPMAGTF III 202101,REG,PACOM,2021-01-01,2021-06-30,2,3,1,10,367,2.00546448087,1,2021-01-01
7,UC 3/4,I MEF 3rd Inf Bn 4th Mardiv,I MEF,2016-03-15,2016-09-14,3,MEU 202202 WC,REG,CENTCOM-WC,2022-02-20,2022-11-19,2,3,1,10,407,2.22404371585,1,2022-02-20
8,UC 3/8,II MEF 3rd Inf Bn 8th Mardiv,II MEF,2016-11-01,2017-04-30,5,SPMAGTF II 201911,REG,AFRICOM,2019-11-01,2020-04-30,2,3,1,10,366,2,1,2019-11-01
9,UC 3/4,I MEF 3rd Inf Bn 4th Mardiv,I MEF,2016-03-15,2016-09-14,3,UDP 202007,REG,PACOM,2020-07-10,2021-01-09,2,3,1,10,599,2.20220588235,1,2020-07-10
10,UC 2/1,I MEF 2nd Inf Bn 1st Mardiv,I MEF,2016-09-15,2017-03-14,4,COMBINED EFFORT 201808,REG,PACOM,2018-08-25,2019-02-23,2,5,1,5,529,2.93888888889,1,2018-08-25
11,UC 1/3,III MEF 8th Inf Bn 2nd Mardiv,III MEF,2016-07-01,2016-12-31,3,SPMAGTF III 201807,REG,PACOM,2018-07-01,2018-12-31,2,3,1,10,547,2.98907103825,1,2018-07-01
12,UC 3/8,II MEF 3rd Inf Bn 8th Mardiv,II MEF,2016-11-01,2017-04-30,5,SPMAGTF II 201805,REG,AFRICOM,2018-05-01,2018-10-31,2,3,1,10,366,2.03333333333,1,2018-05-01
13,UC 2/3,III MEF 1st Inf Bn 3rd Mardiv,III MEF,2017-01-01,2017-06-30,5,UDP 202207,REG,PACOM,2022-07-10,2023-01-09,2,3,1,10,366,2.03333333333,1,2022-07-10
14,UC 2/7,I MEF 2nd Inf Bn 7th Mardiv,I MEF,2017-06-25,2017-12-24,5,OEF 201812,REG,CENTCOM,2018-12-25,2019-06-24,2,3,1,10,366,2.01098901099,1,2018-12-25
15,UC 3/6,II MEF 3rd Inf Bn 6th Mardiv,II MEF,2017-11-01,2018-04-30,4,SPMAGTF II 201905,REG,AFRICOM,2019-05-01,2019-10-31,2,3,1,10,366,2.03333333333,1,2019-05-01
16,UC 1/8,II MEF 1st Inf Bn 8th Mardiv,II MEF,2015-08-20,2016-03-19,3,FOREIGN AID 201910,REG,CENTCOM,2019-10-11,2020-05-04,2,4,1,5,392,2.14207650273,1,2019-10-11
17,UC 2/6,II MEF 2nd Inf Bn 6th Mardiv,II MEF,2014-12-25,2015-06-24,3,SPMAGTF I 202109,REG,CENTCOM,2021-09-15,2022-03-14,2,3,1,10,366,2,1,2021-09-15
18,UC 3/6,II MEF 3rd Inf Bn 6th Mardiv,II MEF,2017-11-01,2018-04-30,4,SPMAGTF II 202205,REG,AFRICOM,2022-05-01,2022-10-31,2,3,1,10,366,2.03333333333,1,2022-05-01
19,UC 1/7,I MEF 1st Inf Bn 7th Mardiv,I MEF,2017-02-20,2017-09-19,3,SPMAGTF III 201901,REG,PACOM,2019-01-01,2019-06-30,2,3,1,10,469,2.22274881517,1,2019-01-01
20,UC 2/1,I MEF 2nd Inf Bn 1st Mardiv,I MEF,2016-09-15,2017-03-14,4,MEU 202002 EC,REG,CENTCOM-EC,2020-02-20,2020-11-19,2,3,1,10,362,1.98901098901,1,2020-02-20
21,UC 1/8,II MEF 1st Inf Bn 8th Mardiv,II MEF,2015-08-20,2016-03-19,3,MEU 202106 EC,REG,CENTCOM-EC,2021-06-20,2022-03-19,2,3,1,10,412,2,1,2021-06-20
22,UC 3/7,I MEF 3rd Inf Bn 7th Mardiv,I MEF,2016-06-25,2016-12-24,2,OEF 202012,REG,CENTCOM,2020-12-15,2021-06-24,2,3,1,10,357,1.96153846154,1,2020-12-15
23,UC 2/1,I MEF 2nd Inf Bn 1st Mardiv,I MEF,2016-09-15,2017-03-14,4,SPMAGTF I 202209,REG,CENTCOM,2022-09-15,2023-03-14,2,3,1,10,665,2.4358974359,1,2022-09-15
24,UC 1/3,III MEF 8th Inf Bn 2nd Mardiv,III MEF,2016-07-01,2016-12-31,3,SPMAGTF III 202001,REG,PACOM,2020-01-01,2020-06-30,2,3,1,10,366,2,1,2020-01-01
25,UC 2/5,I MEF 2nd Inf Bn 5th Mardiv,I MEF,2015-07-10,2016-01-09,2,SPMAGTF II 202005,REG,AFRICOM,2020-05-01,2020-10-31,2,3,1,10,391,2.14835164835,1,2020-05-01
26,UC 1/1,I MEF 1st Inf Bn 1st Mardiv,I MEF,2017-07-10,2018-01-09,3,SPMAGTF I 201903,REG,CENTCOM,2019-03-15,2019-09-14,2,3,1,10,430,2.34972677596,1,2019-03-15
27,UC 1/6,II MEF 1st Inf Bn 6th Mardiv,II MEF,2016-05-01,2016-10-31,4,SOUTHERN BLITZ 201907,REG,AFRICOM,2019-07-20,2020-01-14,2,3,1,5,376,2.08888888889,1,2019-07-20
28,UC 3/2,II MEF 3rd Inf Bn 2nd Mardiv,II MEF,2017-03-15,2017-09-14,2,MEU 201810 EC,REG,CENTCOM-EC,2018-10-20,2019-07-19,2,3,1,10,401,2.1912568306,1,2018-10-20
29,UC 3/1,I MEF 3rd Inf Bn 1st Mardiv,I MEF,2017-01-10,2017-07-09,5,SPMAGTF I 202009,REG,CENTCOM,2020-09-15,2021-03-14,2,3,1,10,434,2.41111111111,1,2020-09-15
30,UC 2/5,I MEF 2nd Inf Bn 5th Mardiv,I MEF,2015-07-10,2016-01-09,2,OEF 202112,REG,CENTCOM,2021-12-25,2022-06-24,2,3,1,10,420,2.29508196721,1,2021-12-25
31,UC 1/1,I MEF 1st Inf Bn 1st Mardiv,I MEF,2017-07-10,2018-01-09,3,MEU 202010 WC,REG,CENTCOM-WC,2020-10-20,2021-07-19,2,3,1,10,402,2.19672131148,1,2020-10-20
32,UC 2/2,II MEF 2nd Inf Bn 2nd Mardiv,II MEF,2017-05-01,2017-10-31,3,SPMAGTF II 201811,REG,AFRICOM,2018-11-01,2019-04-30,2,3,1,10,366,2,1,2018-11-01
33,UC 2/8,II MEF 2nd Inf Bn 8th Mardiv,II MEF,2016-09-23,2017-04-22,2,ALLIED HOPE 201708,REG,CENTCOM,2021-08-15,2022-01-14,2,4,1,5,417,2.29120879121,1,2021-08-15
34,UC 2/3,III MEF 1st Inf Bn 3rd Mardiv,III MEF,2017-01-01,2017-06-30,5,UDP 202101,REG,PACOM,2021-01-10,2021-07-09,2,3,1,10,367,2.00546448087,1,2021-01-10
35,UC 1/8,II MEF 1st Inf Bn 8th Mardiv,II MEF,2015-08-20,2016-03-19,3,SPMAGTF I 201803,REG,CENTCOM,2018-03-15,2018-09-14,2,3,1,10,726,3.42452830189,1,2018-03-15
36,UC 1/5,I MEF 1st Inf Bn 5th Mardiv,I MEF,2016-02-20,2016-09-19,4,SPMAGTF III 201801,REG,PACOM,2018-01-01,2018-06-30,2,3,1,10,469,2.21226415094,1,2018-01-01
37,UC 1/4,I MEF 1st Inf Bn 4th Mardiv,I MEF,2016-07-10,2017-01-09,2,UDP 202107,REG,PACOM,2021-07-10,2022-01-09,2,3,1,10,366,2.02209944751,1,2021-07-10
38,UC 2/7,I MEF 2nd Inf Bn 7th Mardiv,I MEF,2017-06-25,2017-12-24,5,FOREIGN AID 202007,REG,PACOM,2020-07-22,2021-02-02,2,4,1,5,394,2.17679558011,1,2020-07-22
39,UC 2/5,I MEF 2nd Inf Bn 5th Mardiv,I MEF,2015-07-10,2016-01-09,2,JADE SWORD 201810,REG,CENTCOM,2018-10-06,2019-04-06,2,4,1,5,1001,5.46994535519,1,2018-10-06
40,UC 3/8,II MEF 3rd Inf Bn 8th Mardiv,II MEF,2016-11-01,2017-04-30,5,SPMAGTF II 202211,REG,AFRICOM,2022-11-01,2023-04-30,2,3,1,10,366,2,1,2022-11-01
41,UC 2/8,II MEF 2nd Inf Bn 8th Mardiv,II MEF,2016-09-23,2017-04-22,2,OEF 201912,REG,CENTCOM,2019-12-25,2020-06-24,2,3,1,10,366,2.01098901099,1,2019-12-25
42,UC 2/7,I MEF 2nd Inf Bn 7th Mardiv,I MEF,2017-06-25,2017-12-24,5,SPMAGTF I 202203,REG,CENTCOM,2022-03-15,2022-09-14,2,3,1,10,406,2.08205128205,1,2022-03-15
43,UC 2/4,I MEF 2nd Inf Bn 4th Mardiv,I MEF,2016-12-25,2017-06-24,5,SPMAGTF III 202201,REG,PACOM,2022-01-01,2022-10-31,2,3,1,10,366,2,1,2022-01-01
44,UC 1/7,I MEF 1st Inf Bn 7th Mardiv,I MEF,2017-02-20,2017-09-19,3,UDP 202201,REG,PACOM,2022-01-10,2022-07-09,2,3,1,10,382,2.0989010989,1,2022-01-10
45,UC 3/5,I MEF 3rd Inf Bn 5th Mardiv,I MEF,2017-09-15,2018-03-14,3,ARCTIC CHILL 201904,REG,AFRICOM,2019-04-29,2019-11-13,2,3,1,5,411,2.28333333333,1,2019-04-29
46,UC 1/6,II MEF 1st Inf Bn 6th Mardiv,II MEF,2016-05-01,2016-10-31,4,SPMAGTF I 202103,REG,CENTCOM,2021-03-15,2021-09-14,2,3,1,10,426,2.39325842697,1,2021-03-15
47,UC 2/4,I MEF 2nd Inf Bn 4th Mardiv,I MEF,2016-12-25,2017-06-24,5,FOREIGN AID 201806,REG,PACOM,2018-06-22,2019-01-24,2,3,1,5,363,2.00552486188,1,2018-06-22
48,UC 3/5,I MEF 3rd Inf Bn 5th Mardiv,I MEF,2017-09-15,2018-03-14,3,THUNDER X 202011,REG,CENTCOM,2020-11-26,2021-05-25,2,3,1,5,379,1.91414141414,1,2020-11-26
49,UC 1/4,I MEF 1st Inf Bn 4th Mardiv,I MEF,2016-07-10,2017-01-09,2,UDP 201807,REG,PACOM,2018-07-10,2019-01-09,2,3,1,10,547,2.98907103825,1,2018-07-10
50,UC 3/3,III MEF 2nd Inf Bn 3rd Mardiv,III MEF,2017-07-01,2017-12-31,4,SPMAGTF III 201907,REG,PACOM,2019-07-01,2019-12-31,2,3,1,10,547,2.98907103825,1,2019-07-01
51,UC 3/7,I MEF 3rd Inf Bn 7th Mardiv,I MEF,2016-06-25,2016-12-24,2,OEF 201906,REG,CENTCOM,2019-06-25,2019-12-24,2,3,1,10,366,2.02209944751,1,2019-06-25
52,UC 3/6,II MEF 3rd Inf Bn 6th Mardiv,II MEF,2017-11-01,2018-04-30,4,SPMAGTF II 202011,REG,AFRICOM,2020-11-01,2021-04-30,2,3,1,10,367,2.00546448087,1,2020-11-01
53,UC 3/4,I MEF 3rd Inf Bn 4th Mardiv,I MEF,2016-03-15,2016-09-14,3,MEU 201802 WC,REG,CENTCOM-WC,2018-02-20,2018-11-19,2,3,1,10,524,2.86338797814,1,2018-02-20
54,UC 3/5,I MEF 3rd Inf Bn 5th Mardiv,I MEF,2017-09-15,2018-03-14,3,OEF 202206,REG,CENTCOM,2022-06-25,2022-12-24,2,3,1,10,396,2.2,1,2022-06-25
55,UC 2/2,II MEF 2nd Inf Bn 2nd Mardiv,II MEF,2017-05-01,2017-10-31,3,THUNDER Y 202009,REG,CENTCOM,2020-09-05,2020-12-13,2,5,1,5,494,2.74444444444,1,2020-09-05
56,UC 1/6,II MEF 1st Inf Bn 6th Mardiv,II MEF,2016-05-01,2016-10-31,4,UDP 201801,REG,PACOM,2018-01-10,2018-07-09,2,3,1,10,436,2.3825136612,1,2018-01-10
57,UC 3/8,II MEF 3rd Inf Bn 8th Mardiv,II MEF,2016-11-01,2017-04-30,5,SPMAGTF II 202105,REG,AFRICOM,2021-05-01,2021-10-31,2,3,1,10,366,2.02209944751,1,2021-05-01
58,UC 1/3,III MEF 8th Inf Bn 2nd Mardiv,III MEF,2016-07-01,2016-12-31,3,SPMAGTF III 202107,REG,PACOM,2021-07-01,2021-12-31,2,3,1,10,366,2.02209944751,1,2021-07-01
59,UC 1/4,I MEF 1st Inf Bn 4th Mardiv,I MEF,2016-07-10,2017-01-09,2,UDP 202001,REG,PACOM,2020-01-10,2020-07-09,2,3,1,10,366,2,1,2020-01-10
60,UC 1/5,I MEF 1st Inf Bn 5th Mardiv,I MEF,2016-02-20,2016-09-19,4,OEF 202106,REG,CENTCOM,2021-06-25,2021-12-24,2,3,1,10,468,2.58563535912,1,2021-06-25
61,UC 2/6,II MEF 2nd Inf Bn 6th Mardiv,II MEF,2014-12-25,2015-06-24,3,SPMAGTF I 201809,REG,CENTCOM,2018-09-15,2019-03-14,2,3,1,10,1179,6.5138121547,1,2018-09-15
62,UC 1/7,I MEF 1st Inf Bn 7th Mardiv,I MEF,2017-02-20,2017-09-19,3,OEF 202006,REG,CENTCOM,2020-06-25,2020-12-24,2,3,1,10,361,2.00555555556,1,2020-06-25
