unit,assignments,dwellratio,dwelltime
UC 2/4,3,2.00552486188,363
UC 1/2,3,2.17061611374,458
UC 3/7,3,2.02209944751,366
UC 2/3,3,2.00546448087,367
UC 3/2,3,2.6393442623,483
UC 3/3,3,2.98907103825,547
UC 3/4,3,2.86338797814,524
UC 3/8,4,2.02209944751,366
UC 2/1,3,2.4358974359,665
UC 1/3,3,2.02209944751,366
UC 2/7,4,2.08205128205,406
UC 3/6,4,2.00546448087,367
UC 1/8,3,3.42452830189,726
UC 2/6,3,2.03888888889,367
UC 1/7,3,2.00555555556,361
UC 2/5,3,5.46994535519,1001
UC 1/1,3,2.19672131148,402
UC 1/6,4,2.1912568306,401
UC 3/1,3,3.05555555556,550
UC 2/2,3,2.40404040404,238
UC 2/8,3,2.03317535545,429
UC 1/5,3,2.45555555556,442
UC 1/4,3,2,366
UC 3/5,4,2.2,396
