ID,unitCode,unitName,taskForce,lastStartDate,lastEndDate,finishedReadiness,reqName,reqType,command,startDate,endDate,readinessReq,finishReadiness,unitsReq,criticality,dwellTD,dwellTR,deploymentReadiness,req_startDate
0,UC 2/8,II MEF 2nd Inf Bn 8th Mardiv,II MEF,2016-09-23,2017-04-22,2,SPMAGTF IV 201912,REG,CENTCOM,2019-12-01,2020-05-31,2,3,1,10,326,1.78142076503,1,2019-12-01
1,UC 1/8,II MEF 1st Inf Bn 8th Mardiv,II MEF,2015-08-20,2016-03-19,3,UDP 201907,REG,PACOM,2019-07-10,2020-01-09,2,3,1,10,299,1.63387978142,1,2019-07-10
2,UC 3/4,I MEF 3rd Inf Bn 4th Mardiv,I MEF,2016-03-15,2016-09-14,3,SPMAGTF III 201801,REG,PACOM,2018-01-01,2018-06-30,2,3,1,10,474,2.59016393443,1,2018-01-01
3,UC 1/2,II MEF 1st Inf Bn 2nd Mardiv,II MEF,2017-08-20,2018-03-19,2,SPMAGTF II 201905,REG,AFRICOM,2019-05-01,2019-10-31,2,3,1,10,408,1.9336492891,1,2019-05-01
4,UC 3/7,I MEF 3rd Inf Bn 7th Mardiv,I MEF,2016-06-25,2016-12-24,2,OEF 201712,REG,CENTCOM,2017-12-25,2018-06-24,2,3,1,10,366,2.01098901099,1,2017-12-25
5,UC 2/3,III MEF 1st Inf Bn 3rd Mardiv,III MEF,2017-01-01,2017-06-30,5,SPMAGTF III 201807,REG,PACOM,2018-07-01,2018-12-31,2,3,1,10,366,2.03333333333,1,2018-07-01
6,UC 1/3,III MEF 8th Inf Bn 2nd Mardiv,III MEF,2016-07-01,2016-12-31,3,SPMAGTF IV 202012,REG,CENTCOM,2020-12-01,2021-05-31,2,3,1,10,336,1.83606557377,1,2020-12-01
7,UC 1/1,I MEF 1st Inf Bn 1st Mardiv,I MEF,2017-07-10,2018-01-09,3,MEU 202008 EC,REG,CENTCOM-EC,2020-08-20,2021-03-19,2,3,1,10,336,1.59241706161,1,2020-08-20
8,UC 2/8,II MEF 2nd Inf Bn 8th Mardiv,II MEF,2016-09-23,2017-04-22,2,UDP 201807,REG,PACOM,2018-07-10,2019-01-09,2,3,1,10,444,2.10426540284,1,2018-07-10
9,UC 3/5,I MEF 3rd Inf Bn 5th Mardiv,I MEF,2017-09-15,2018-03-14,3,FOREIGN AID 202007,REG,PACOM,2020-07-22,2021-02-02,2,4,1,5,312,1.70491803279,1,2020-07-22
10,UC 1/6,II MEF 1st Inf Bn 6th Mardiv,II MEF,2016-05-01,2016-10-31,4,MEU 202108 EC,REG,CENTCOM-EC,2021-08-20,2022-03-19,2,3,1,10,293,1.60109289617,1,2021-08-20
11,UC 3/7,I MEF 3rd Inf Bn 7th Mardiv,I MEF,2016-06-25,2016-12-24,2,UDP 202201,REG,PACOM,2022-01-10,2022-07-09,2,3,1,10,302,1.67777777778,1,2022-01-10
12,UC 3/6,II MEF 3rd Inf Bn 6th Mardiv,II MEF,2017-11-01,2018-04-30,4,SPMAGTF II 202011,REG,AFRICOM,2020-11-01,2021-04-30,2,3,1,10,354,1.78787878788,1,2020-11-01
13,UC 2/4,I MEF 2nd Inf Bn 4th Mardiv,I MEF,2016-12-25,2017-06-24,5,OEF 202106,REG,CENTCOM,2021-06-25,2021-12-24,2,3,1,10,360,1.98895027624,1,2021-06-25
14,UC 3/8,II MEF 3rd Inf Bn 8th Mardiv,II MEF,2016-11-01,2017-04-30,5,SPMAGTF II 201805,REG,AFRICOM,2018-05-01,2018-10-31,2,3,1,10,366,2.03333333333,1,2018-05-01
15,UC 2/5,I MEF 2nd Inf Bn 5th Mardiv,I MEF,2015-07-10,2016-01-09,2,MEU 201802 WC,REG,CENTCOM-WC,2018-02-20,2018-09-19,2,3,1,10,773,4.22404371585,1,2018-02-20
16,UC 2/5,I MEF 2nd Inf Bn 5th Mardiv,I MEF,2015-07-10,2016-01-09,2,UDP 202207,REG,PACOM,2022-07-10,2023-01-09,2,3,1,10,381,1.99476439791,1,2022-07-10
17,UC 3/5,I MEF 3rd Inf Bn 5th Mardiv,I MEF,2017-09-15,2018-03-14,3,SPMAGTF III 202201,REG,PACOM,2022-01-01,2022-10-31,2,3,1,10,333,1.70769230769,1,2022-01-01
18,UC 3/6,II MEF 3rd Inf Bn 6th Mardiv,II MEF,2017-11-01,2018-04-30,4,ARCTIC CHILL 201904,REG,AFRICOM,2019-04-29,2019-11-13,2,3,1,5,364,2.02222222222,1,2019-04-29
19,UC 2/7,I MEF 2nd Inf Bn 7th Mardiv,I MEF,2017-06-25,2017-12-24,5,OEF 201812,REG,CENTCOM,2018-12-25,2019-06-24,2,3,1,10,366,2.01098901099,1,2018-12-25
20,UC 2/6,II MEF 2nd Inf Bn 6th Mardiv,II MEF,2014-12-25,2015-06-24,3,SPMAGTF IV 202006,REG,CENTCOM,2020-06-01,2020-11-30,2,3,1,10,367,2.02762430939,1,2020-06-01
21,UC 1/3,III MEF 8th Inf Bn 2nd Mardiv,III MEF,2016-07-01,2016-12-31,3,UDP 201801,REG,PACOM,2018-01-10,2018-07-09,2,3,1,10,375,2.04918032787,1,2018-01-10
22,UC 1/2,II MEF 1st Inf Bn 2nd Mardiv,II MEF,2017-08-20,2018-03-19,2,THUNDER Y 202009,REG,CENTCOM,2020-09-05,2020-12-13,2,5,1,5,310,1.69398907104,1,2020-09-05
23,UC 1/2,II MEF 1st Inf Bn 2nd Mardiv,II MEF,2017-08-20,2018-03-19,2,SPMAGTF III 202107,REG,PACOM,2021-07-01,2021-12-31,2,3,1,10,200,2.0202020202,2,2021-07-01
24,UC 1/7,I MEF 1st Inf Bn 7th Mardiv,I MEF,2017-02-20,2017-09-19,3,SPMAGTF II 202111,REG,AFRICOM,2021-11-01,2022-04-30,2,3,1,10,312,1.71428571429,1,2021-11-01
25,UC 1/7,I MEF 1st Inf Bn 7th Mardiv,I MEF,2017-02-20,2017-09-19,3,SPMAGTF III 201901,REG,PACOM,2019-01-01,2019-06-30,2,3,1,10,469,2.22274881517,1,2019-01-01
26,UC 3/2,II MEF 3rd Inf Bn 2nd Mardiv,II MEF,2017-03-15,2017-09-14,2,ALLIED HOPE 201708,REG,CENTCOM,2021-08-15,2022-01-14,2,4,1,5,330,1.55660377358,1,2021-08-15
27,UC 1/1,I MEF 1st Inf Bn 1st Mardiv,I MEF,2017-07-10,2018-01-09,3,MEU 201902 WC,REG,CENTCOM-WC,2019-02-20,2019-09-19,2,3,1,10,407,2.22404371585,1,2019-02-20
28,UC 3/8,II MEF 3rd Inf Bn 8th Mardiv,II MEF,2016-11-01,2017-04-30,5,MEU 201908 EC,REG,CENTCOM-EC,2019-08-20,2020-03-19,2,3,1,10,293,1.60109289617,1,2019-08-20
29,UC 2/5,I MEF 2nd Inf Bn 5th Mardiv,I MEF,2015-07-10,2016-01-09,2,SOUTHERN BLITZ 201907,REG,AFRICOM,2019-07-20,2020-01-14,2,3,1,5,304,1.44075829384,1,2019-07-20
30,UC 1/8,II MEF 1st Inf Bn 8th Mardiv,II MEF,2015-08-20,2016-03-19,3,OEF 202206,REG,CENTCOM,2022-06-25,2022-12-24,2,3,1,10,360,2,1,2022-06-25
31,UC 3/1,I MEF 3rd Inf Bn 1st Mardiv,I MEF,2017-01-10,2017-07-09,5,OEF 201912,REG,CENTCOM,2019-12-25,2020-06-24,2,3,1,10,305,1.67582417582,1,2019-12-25
32,UC 3/3,III MEF 2nd Inf Bn 3rd Mardiv,III MEF,2017-07-01,2017-12-31,4,UDP 201901,REG,PACOM,2019-01-10,2019-07-09,2,3,1,10,375,2.04918032787,1,2019-01-10
