unit,assignments,dwellratio,dwelltime
UC 2/8,4,2,366
UC 1/8,4,1.95628415301,358
UC 3/4,4,1.89444444444,341
UC 1/2,4,2.0202020202,200
UC 3/7,4,1.59340659341,290
UC 2/3,4,1.66666666667,305
UC 1/3,4,2.02209944751,366
UC 1/1,4,1.6018957346,338
UC 3/5,4,2.03333333333,366
UC 1/6,3,3.5956284153,658
UC 3/6,4,1.77222222222,319
UC 2/4,3,2.47513812155,448
UC 3/8,4,2.07582938389,438
UC 2/5,4,1.88764044944,336
UC 2/7,4,1.8306010929,335
UC 2/6,3,1.58791208791,289
UC 1/7,3,2.00555555556,361
UC 3/2,4,2.26973684211,345
UC 3/1,3,1.87912087912,342
UC 3/3,4,2.03888888889,367
UC 2/1,4,2,366
UC 2/2,3,1.77777777778,320
UC 1/5,4,2.92452830189,620
UC 1/4,3,2.89071038251,529
