unit,assignments,dwellratio,dwelltime
UC 2/6,4,1.89444444444,341
UC 1/8,4,1.95628415301,358
UC 1/2,3,1.78571428571,325
UC 3/2,4,2.26973684211,345
UC 3/7,3,1.75091575092,478
UC 3/5,4,2.29444444444,413
UC 2/8,4,2.03317535545,429
UC 1/3,4,2.02209944751,366
UC 3/8,4,1.43169398907,262
UC 2/1,4,1.67403314917,303
UC 3/6,4,1.77222222222,319
UC 2/5,4,2.01098901099,366
UC 1/4,3,2.89071038251,529
UC 2/7,4,1.8306010929,335
UC 1/7,3,2.00555555556,361
UC 2/3,3,2.33888888889,421
UC 3/3,4,1.75384615385,342
UC 1/5,4,2.92452830189,620
UC 1/6,3,1.89010989011,344
UC 1/1,4,1.91256830601,350
UC 2/4,3,1.49450549451,408
UC 3/4,4,1.58241758242,288
UC 3/1,3,1.90555555556,343
UC 2/2,3,1.58791208791,289
