parent,actstart,createdate,durationinhours,parentid,targcomptime,physicalpercentcomplete,istask,id,projectid,taskid,workordergroup,wopriority,fnl,remainingduration,sne,interruptible,referencestart,statusdate,schedfinish,workordernumber,name,schedstart,actfinish,targstarttime,referenceend,status
A388AWR-3C-HB000,null,2019-03-11 20:38:53.0,8.5,WORKORDER_A388AWR-3C-HB000_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRAF/398_BEDFORD_EAGLENA,82,75,A388AWR-3C-HB000,66,null,null,null,1,null,2019-03-11 20:38:53.0,2019-04-15 08:30:00.0,AWRAF/398,388-290-LH-1-SEAT-INSTL-388-290-LH-1-SEAT-INSTL,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-FAB00,null,2019-03-11 19:43:58.0,12.066666666666666,WORKORDER_A388AWR-3C-FAB00_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRAV/236_BEDFORD_EAGLENA,82,22,A388AWR-3C-FAB00,0,null,null,null,1,null,2019-03-11 19:43:58.0,2019-04-15 12:04:00.0,AWRAV/236,REPLACE Y CLS USB PORTS-EL44-0050,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-G0000,null,2019-03-11 20:57:57.0,6,WORKORDER_A388AWR-3C-G0000_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRB860974001_BEDFORD_EAGLENA,82,215,A388AWR-3C-G0000,0,null,null,null,1,null,2019-03-11 20:57:57.0,2019-04-15 06:00:00.0,AWRB860974001,NRI FOR 388-442101-03-ES/200,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-G0000,null,2019-03-11 21:08:37.0,7,WORKORDER_A388AWR-3C-G0000_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRB875481001_BEDFORD_EAGLENA,82,527,A388AWR-3C-G0000,0,null,null,null,1,null,2019-03-11 21:08:37.0,2019-04-15 07:00:00.0,AWRB875481001,NRI FOR 388-ZL-500-00003-01/600,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-HB000,null,2019-03-11 20:36:58.0,7.35,WORKORDER_A388AWR-3C-HB000_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRAF/1031_BEDFORD_EAGLENA,82,19,A388AWR-3C-HB000,10,null,null,null,1,null,2019-03-11 20:36:58.0,2019-04-15 07:21:00.0,AWRAF/1031,388-LAV 3MF-INSTL-388-LAV 3MF-INSTL,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-FBB00,null,2019-03-11 19:54:44.0,0.6333333333333333,WORKORDER_A388AWR-3C-FBB00_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRAF/1150_BEDFORD_EAGLENA,82,56,A388AWR-3C-FBB00,37,null,null,null,1,null,2019-03-11 19:54:44.0,2019-04-15 00:38:00.0,AWRAF/1150,GVI- SEAT TRACKS & FLOOR STR-388-ZL-221-00001-01/220,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-FBG00,null,2019-03-11 20:12:14.0,6.7,WORKORDER_A388AWR-3C-FBG00_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRAF/0460_BEDFORD_EAGLENA,82,17,A388AWR-3C-FBG00,51,null,null,null,1,null,2019-03-11 20:12:14.0,2019-04-15 06:42:00.0,AWRAF/0460,DI - LH WING BRAKE END BRAKE ROD TORQUE PIN-388-324200-00006-01/730,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-G0000,null,2019-03-11 20:50:53.0,8,WORKORDER_A388AWR-3C-G0000_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRB854476001_BEDFORD_EAGLENA,82,7,A388AWR-3C-G0000,0,null,null,null,1,null,2019-03-11 20:50:53.0,2019-04-15 08:00:00.0,AWRB854476001,NRI FOR 388-QA/F/0705/999,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-JB000,null,2019-03-11 20:23:44.0,1.1333333333333333,WORKORDER_A388AWR-3C-JB000_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRAF/0464_BEDFORD_EAGLENA,82,13,A388AWR-3C-JB000,0,null,null,null,1,null,2019-03-11 20:23:44.0,2019-04-15 01:08:00.0,AWRAF/0464,OPC - ALTERNATE BRAKING-388-324300-00001-01/210,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-FBD00,null,2019-03-11 20:04:48.0,1.4,WORKORDER_A388AWR-3C-FBD00_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRENG/0108_BEDFORD_EAGLENA,82,101,A388AWR-3C-FBD00,21,null,null,null,1,null,2019-03-11 20:04:48.0,2019-04-15 01:24:00.0,AWRENG/0108,DVI - ENG#3 (RH T/R) IFS LANDING SURFACE-388-783200-E7014-01/438,2019-04-15 00:00:00.0,null,null,null,WAPPR
