name,value
NUMBER_OF_SOLUTIONS,2
BEST_SOLUTION_DATE,2019-04-09 13:30:39.510
SOLVE_START_DATE,2019-04-09 13:30:18.193
SOLVE_END_DATE,2019-04-09 13:30:48.696
OBJECTIVE,942350.0000000001
BEST_SOLUTION_ELAPSED,21.317
SOLVE_STATUS,FEASIBLE_SOLUTION
SEARCH_STATUS,SEARCH_STOPPED_BY_LIMIT
SOLVE_ELAPSED,30.503
CPO_NUMBER_OF_FAILS,1629
MODEL_NAME,ibm.maximo.optimization.opas.modeler.OpasScheduler
CPO_TOTAL_SOLVE_TIME,30.16000000014901
MODEL_VERSION,0.5-sprint5-b190405
CPO_SOLVE_TIME,30.16000000014901
CPO_NUMBER_OF_VARS,2735
CPO_EFFECTIVE_WORKERS,2
CPO_MEMORY_USAGE,133109099
CPO_EFFECTIVE_OPTIMALITY,Infinity
CPO_NUMBER_OF_SEQUENCE_VARS,0
TIME_ZONE,Etc/UTC
CPO_SEARCH_STOP_CAUSE,SearchStoppedByLimit
CPO_NUMBER_OF_INTEGER_VARS,0
CPO_EXTRACTION_TIME,0.46000000089406967
MODEL_TYPE,CPO_Java
CPO_NUMBER_OF_CONSTRAINTS,5507
CPO_PRESOLVE_TIME,0.41999999806284904
LANG_CODE,EN
CPO_SEARCH_STATUS,SearchStopped
CPO_NUMBER_OF_INTERVAL_VARS,2734
