value,Units,Periods
400.0,COAL_1,Mon-00
233.333333333,COAL_2,Mon-00
90.0,DIESEL_1,Mon-00
87.0,DIESEL_2,Mon-00
0.0,DIESEL_3,Mon-00
0.0,DIESEL_4,Mon-00
110.0,GAS_1,Mon-00
0.0,GAS_2,Mon-00
165.0,GAS_3,Mon-00
110.666666667,GAS_4,Mon-00
400.0,COAL_1,Mon-01
233.333333333,COAL_2,Mon-01
90.0,DIESEL_1,Mon-01
87.0,DIESEL_2,Mon-01
0.0,DIESEL_3,Mon-01
0.0,DIESEL_4,Mon-01
78.0,GAS_1,Mon-01
0.0,GAS_2,Mon-01
165.0,GAS_3,Mon-01
139.666666667,GAS_4,Mon-01
400.0,COAL_1,Mon-02
291.0,COAL_2,Mon-02
90.0,DIESEL_1,Mon-02
87.0,DIESEL_2,Mon-02
0.0,DIESEL_3,Mon-02
0.0,DIESEL_4,Mon-02
0.0,GAS_1,Mon-02
0.0,GAS_2,Mon-02
165.0,GAS_3,Mon-02
158.0,GAS_4,Mon-02
400.0,COAL_1,Mon-03
293.0,COAL_2,Mon-03
90.0,DIESEL_1,Mon-03
87.0,DIESEL_2,Mon-03
0.0,DIESEL_3,Mon-03
0.0,DIESEL_4,Mon-03
0.0,GAS_1,Mon-03
0.0,GAS_2,Mon-03
165.0,GAS_3,Mon-03
158.0,GAS_4,Mon-03
400.0,COAL_1,Mon-04
307.0,COAL_2,Mon-04
90.0,DIESEL_1,Mon-04
87.0,DIESEL_2,Mon-04
0.0,DIESEL_3,Mon-04
0.0,DIESEL_4,Mon-04
0.0,GAS_1,Mon-04
0.0,GAS_2,Mon-04
165.0,GAS_3,Mon-04
158.0,GAS_4,Mon-04
400.0,COAL_1,Mon-05
343.0,COAL_2,Mon-05
90.0,DIESEL_1,Mon-05
87.0,DIESEL_2,Mon-05
0.0,DIESEL_3,Mon-05
0.0,DIESEL_4,Mon-05
0.0,GAS_1,Mon-05
0.0,GAS_2,Mon-05
165.0,GAS_3,Mon-05
158.0,GAS_4,Mon-05
400.0,COAL_1,Mon-06
393.0,COAL_2,Mon-06
90.0,DIESEL_1,Mon-06
87.0,DIESEL_2,Mon-06
0.0,DIESEL_3,Mon-06
0.0,DIESEL_4,Mon-06
0.0,GAS_1,Mon-06
0.0,GAS_2,Mon-06
165.0,GAS_3,Mon-06
158.0,GAS_4,Mon-06
400.0,COAL_1,Mon-07
437.0,COAL_2,Mon-07
90.0,DIESEL_1,Mon-07
87.0,DIESEL_2,Mon-07
0.0,DIESEL_3,Mon-07
0.0,DIESEL_4,Mon-07
0.0,GAS_1,Mon-07
0.0,GAS_2,Mon-07
165.0,GAS_3,Mon-07
158.0,GAS_4,Mon-07
400.0,COAL_1,Mon-08
483.0,COAL_2,Mon-08
90.0,DIESEL_1,Mon-08
87.0,DIESEL_2,Mon-08
0.0,DIESEL_3,Mon-08
0.0,DIESEL_4,Mon-08
0.0,GAS_1,Mon-08
0.0,GAS_2,Mon-08
165.0,GAS_3,Mon-08
158.0,GAS_4,Mon-08
400.0,COAL_1,Mon-09
511.0,COAL_2,Mon-09
90.0,DIESEL_1,Mon-09
87.0,DIESEL_2,Mon-09
0.0,DIESEL_3,Mon-09
0.0,DIESEL_4,Mon-09
0.0,GAS_1,Mon-09
0.0,GAS_2,Mon-09
165.0,GAS_3,Mon-09
158.0,GAS_4,Mon-09
400.0,COAL_1,Mon-10
530.0,COAL_2,Mon-10
90.0,DIESEL_1,Mon-10
87.0,DIESEL_2,Mon-10
0.0,DIESEL_3,Mon-10
0.0,DIESEL_4,Mon-10
0.0,GAS_1,Mon-10
0.0,GAS_2,Mon-10
165.0,GAS_3,Mon-10
158.0,GAS_4,Mon-10
400.0,COAL_1,Mon-11
540.0,COAL_2,Mon-11
90.0,DIESEL_1,Mon-11
87.0,DIESEL_2,Mon-11
0.0,DIESEL_3,Mon-11
0.0,DIESEL_4,Mon-11
0.0,GAS_1,Mon-11
0.0,GAS_2,Mon-11
165.0,GAS_3,Mon-11
158.0,GAS_4,Mon-11
400.0,COAL_1,Mon-12
533.0,COAL_2,Mon-12
90.0,DIESEL_1,Mon-12
87.0,DIESEL_2,Mon-12
0.0,DIESEL_3,Mon-12
0.0,DIESEL_4,Mon-12
0.0,GAS_1,Mon-12
0.0,GAS_2,Mon-12
165.0,GAS_3,Mon-12
158.0,GAS_4,Mon-12
400.0,COAL_1,Mon-13
537.0,COAL_2,Mon-13
90.0,DIESEL_1,Mon-13
87.0,DIESEL_2,Mon-13
0.0,DIESEL_3,Mon-13
0.0,DIESEL_4,Mon-13
0.0,GAS_1,Mon-13
0.0,GAS_2,Mon-13
165.0,GAS_3,Mon-13
158.0,GAS_4,Mon-13
400.0,COAL_1,Mon-14
537.0,COAL_2,Mon-14
90.0,DIESEL_1,Mon-14
87.0,DIESEL_2,Mon-14
0.0,DIESEL_3,Mon-14
0.0,DIESEL_4,Mon-14
0.0,GAS_1,Mon-14
0.0,GAS_2,Mon-14
165.0,GAS_3,Mon-14
158.0,GAS_4,Mon-14
400.0,COAL_1,Mon-15
531.0,COAL_2,Mon-15
90.0,DIESEL_1,Mon-15
87.0,DIESEL_2,Mon-15
0.0,DIESEL_3,Mon-15
0.0,DIESEL_4,Mon-15
0.0,GAS_1,Mon-15
0.0,GAS_2,Mon-15
165.0,GAS_3,Mon-15
158.0,GAS_4,Mon-15
400.0,COAL_1,Mon-16
514.0,COAL_2,Mon-16
90.0,DIESEL_1,Mon-16
87.0,DIESEL_2,Mon-16
0.0,DIESEL_3,Mon-16
0.0,DIESEL_4,Mon-16
0.0,GAS_1,Mon-16
0.0,GAS_2,Mon-16
165.0,GAS_3,Mon-16
158.0,GAS_4,Mon-16
