value,Units,Periods
217.0,COAL_1,Mon-00
233.333333333,COAL_2,Mon-00
54.0,DIESEL_1,Mon-00
31.0,DIESEL_2,Mon-00
0.0,DIESEL_3,Mon-00
0.0,DIESEL_4,Mon-00
191.666666667,GAS_1,Mon-00
146.0,GAS_2,Mon-00
165.0,GAS_3,Mon-00
158.0,GAS_4,Mon-00
166.666666667,COAL_1,Mon-01
233.333333333,COAL_2,Mon-01
50.0,DIESEL_1,Mon-01
22.6666666667,DIESEL_2,Mon-01
0.0,DIESEL_3,Mon-01
0.0,DIESEL_4,Mon-01
187.333333333,GAS_1,Mon-01
210.0,GAS_2,Mon-01
165.0,GAS_3,Mon-01
158.0,GAS_4,Mon-01
0.0,COAL_1,Mon-02
233.333333333,COAL_2,Mon-02
90.0,DIESEL_1,Mon-02
82.6666666667,DIESEL_2,Mon-02
20.0,DIESEL_3,Mon-02
12.0,DIESEL_4,Mon-02
220.0,GAS_1,Mon-02
210.0,GAS_2,Mon-02
165.0,GAS_3,Mon-02
158.0,GAS_4,Mon-02
0.0,COAL_1,Mon-03
233.333333333,COAL_2,Mon-03
90.0,DIESEL_1,Mon-03
87.0,DIESEL_2,Mon-03
17.6666666667,DIESEL_3,Mon-03
12.0,DIESEL_4,Mon-03
220.0,GAS_1,Mon-03
210.0,GAS_2,Mon-03
165.0,GAS_3,Mon-03
158.0,GAS_4,Mon-03
0.0,COAL_1,Mon-04
245.0,COAL_2,Mon-04
90.0,DIESEL_1,Mon-04
87.0,DIESEL_2,Mon-04
20.0,DIESEL_3,Mon-04
12.0,DIESEL_4,Mon-04
220.0,GAS_1,Mon-04
210.0,GAS_2,Mon-04
165.0,GAS_3,Mon-04
158.0,GAS_4,Mon-04
0.0,COAL_1,Mon-05
281.0,COAL_2,Mon-05
90.0,DIESEL_1,Mon-05
87.0,DIESEL_2,Mon-05
20.0,DIESEL_3,Mon-05
12.0,DIESEL_4,Mon-05
220.0,GAS_1,Mon-05
210.0,GAS_2,Mon-05
165.0,GAS_3,Mon-05
158.0,GAS_4,Mon-05
0.0,COAL_1,Mon-06
331.0,COAL_2,Mon-06
90.0,DIESEL_1,Mon-06
87.0,DIESEL_2,Mon-06
20.0,DIESEL_3,Mon-06
12.0,DIESEL_4,Mon-06
220.0,GAS_1,Mon-06
210.0,GAS_2,Mon-06
165.0,GAS_3,Mon-06
158.0,GAS_4,Mon-06
0.0,COAL_1,Mon-07
375.0,COAL_2,Mon-07
90.0,DIESEL_1,Mon-07
87.0,DIESEL_2,Mon-07
20.0,DIESEL_3,Mon-07
12.0,DIESEL_4,Mon-07
220.0,GAS_1,Mon-07
210.0,GAS_2,Mon-07
165.0,GAS_3,Mon-07
158.0,GAS_4,Mon-07
0.0,COAL_1,Mon-08
421.0,COAL_2,Mon-08
90.0,DIESEL_1,Mon-08
87.0,DIESEL_2,Mon-08
20.0,DIESEL_3,Mon-08
12.0,DIESEL_4,Mon-08
220.0,GAS_1,Mon-08
210.0,GAS_2,Mon-08
165.0,GAS_3,Mon-08
158.0,GAS_4,Mon-08
0.0,COAL_1,Mon-09
449.0,COAL_2,Mon-09
90.0,DIESEL_1,Mon-09
87.0,DIESEL_2,Mon-09
20.0,DIESEL_3,Mon-09
12.0,DIESEL_4,Mon-09
220.0,GAS_1,Mon-09
210.0,GAS_2,Mon-09
165.0,GAS_3,Mon-09
158.0,GAS_4,Mon-09
0.0,COAL_1,Mon-10
468.0,COAL_2,Mon-10
90.0,DIESEL_1,Mon-10
87.0,DIESEL_2,Mon-10
20.0,DIESEL_3,Mon-10
12.0,DIESEL_4,Mon-10
220.0,GAS_1,Mon-10
210.0,GAS_2,Mon-10
165.0,GAS_3,Mon-10
158.0,GAS_4,Mon-10
0.0,COAL_1,Mon-11
478.0,COAL_2,Mon-11
90.0,DIESEL_1,Mon-11
87.0,DIESEL_2,Mon-11
20.0,DIESEL_3,Mon-11
12.0,DIESEL_4,Mon-11
220.0,GAS_1,Mon-11
210.0,GAS_2,Mon-11
165.0,GAS_3,Mon-11
158.0,GAS_4,Mon-11
3.97903932026e-13,COAL_1,Mon-12
471.0,COAL_2,Mon-12
90.0,DIESEL_1,Mon-12
87.0,DIESEL_2,Mon-12
20.0,DIESEL_3,Mon-12
12.0,DIESEL_4,Mon-12
220.0,GAS_1,Mon-12
210.0,GAS_2,Mon-12
165.0,GAS_3,Mon-12
158.0,GAS_4,Mon-12
1.13686837722e-13,COAL_1,Mon-13
475.0,COAL_2,Mon-13
90.0,DIESEL_1,Mon-13
87.0,DIESEL_2,Mon-13
20.0,DIESEL_3,Mon-13
12.0,DIESEL_4,Mon-13
220.0,GAS_1,Mon-13
210.0,GAS_2,Mon-13
165.0,GAS_3,Mon-13
158.0,GAS_4,Mon-13
0.0,COAL_1,Mon-14
475.0,COAL_2,Mon-14
90.0,DIESEL_1,Mon-14
87.0,DIESEL_2,Mon-14
20.0,DIESEL_3,Mon-14
12.0,DIESEL_4,Mon-14
220.0,GAS_1,Mon-14
210.0,GAS_2,Mon-14
165.0,GAS_3,Mon-14
158.0,GAS_4,Mon-14
2.27373675443e-13,COAL_1,Mon-15
469.0,COAL_2,Mon-15
90.0,DIESEL_1,Mon-15
87.0,DIESEL_2,Mon-15
20.0,DIESEL_3,Mon-15
12.0,DIESEL_4,Mon-15
220.0,GAS_1,Mon-15
210.0,GAS_2,Mon-15
165.0,GAS_3,Mon-15
158.0,GAS_4,Mon-15
1.13686837722e-13,COAL_1,Mon-16
452.0,COAL_2,Mon-16
90.0,DIESEL_1,Mon-16
87.0,DIESEL_2,Mon-16
20.0,DIESEL_3,Mon-16
12.0,DIESEL_4,Mon-16
220.0,GAS_1,Mon-16
210.0,GAS_2,Mon-16
165.0,GAS_3,Mon-16
158.0,GAS_4,Mon-16
2.27373675443e-13,COAL_1,Mon-17
427.0,COAL_2,Mon-17
90.0,DIESEL_1,Mon-17
87.0,DIESEL_2,Mon-17
20.0,DIESEL_3,Mon-17
12.0,DIESEL_4,Mon-17
220.0,GAS_1,Mon-17
210.0,GAS_2,Mon-17
165.0,GAS_3,Mon-17
158.0,GAS_4,Mon-17
1.70530256582e-13,COAL_1,Mon-18
401.0,COAL_2,Mon-18
90.0,DIESEL_1,Mon-18
87.0,DIESEL_2,Mon-18
20.0,DIESEL_3,Mon-18
12.0,DIESEL_4,Mon-18
220.0,GAS_1,Mon-18
210.0,GAS_2,Mon-18
165.0,GAS_3,Mon-18
158.0,GAS_4,Mon-18
0.0,COAL_1,Mon-19
388.0,COAL_2,Mon-19
90.0,DIESEL_1,Mon-19
87.0,DIESEL_2,Mon-19
20.0,DIESEL_3,Mon-19
12.0,DIESEL_4,Mon-19
220.0,GAS_1,Mon-19
210.0,GAS_2,Mon-19
165.0,GAS_3,Mon-19
158.0,GAS_4,Mon-19
0.0,COAL_1,Mon-20
395.0,COAL_2,Mon-20
90.0,DIESEL_1,Mon-20
87.0,DIESEL_2,Mon-20
20.0,DIESEL_3,Mon-20
12.0,DIESEL_4,Mon-20
220.0,GAS_1,Mon-20
210.0,GAS_2,Mon-20
165.0,GAS_3,Mon-20
158.0,GAS_4,Mon-20
0.0,COAL_1,Mon-21
407.0,COAL_2,Mon-21
72.0,DIESEL_1,Mon-21
87.0,DIESEL_2,Mon-21
20.0,DIESEL_3,Mon-21
12.0,DIESEL_4,Mon-21
220.0,GAS_1,Mon-21
210.0,GAS_2,Mon-21
165.0,GAS_3,Mon-21
158.0,GAS_4,Mon-21
1.13686837722e-13,COAL_1,Mon-22
409.0,COAL_2,Mon-22
48.0,DIESEL_1,Mon-22
87.0,DIESEL_2,Mon-22
20.0,DIESEL_3,Mon-22
12.0,DIESEL_4,Mon-22
220.0,GAS_1,Mon-22
210.0,GAS_2,Mon-22
165.0,GAS_3,Mon-22
158.0,GAS_4,Mon-22
1.13686837722e-13,COAL_1,Mon-23
410.0,COAL_2,Mon-23
24.0,DIESEL_1,Mon-23
87.0,DIESEL_2,Mon-23
20.0,DIESEL_3,Mon-23
12.0,DIESEL_4,Mon-23
220.0,GAS_1,Mon-23
210.0,GAS_2,Mon-23
165.0,GAS_3,Mon-23
158.0,GAS_4,Mon-23
1.13686837722e-13,COAL_1,Tue-00
417.0,COAL_2,Tue-00
0.0,DIESEL_1,Tue-00
87.0,DIESEL_2,Tue-00
20.0,DIESEL_3,Tue-00
12.0,DIESEL_4,Tue-00
220.0,GAS_1,Tue-00
210.0,GAS_2,Tue-00
165.0,GAS_3,Tue-00
158.0,GAS_4,Tue-00
1.13686837722e-13,COAL_1,Tue-01
405.0,COAL_2,Tue-01
0.0,DIESEL_1,Tue-01
87.0,DIESEL_2,Tue-01
20.0,DIESEL_3,Tue-01
12.0,DIESEL_4,Tue-01
220.0,GAS_1,Tue-01
210.0,GAS_2,Tue-01
165.0,GAS_3,Tue-01
158.0,GAS_4,Tue-01
0.0,COAL_1,Tue-02
392.0,COAL_2,Tue-02
0.0,DIESEL_1,Tue-02
87.0,DIESEL_2,Tue-02
20.0,DIESEL_3,Tue-02
12.0,DIESEL_4,Tue-02
220.0,GAS_1,Tue-02
210.0,GAS_2,Tue-02
165.0,GAS_3,Tue-02
158.0,GAS_4,Tue-02
0.0,COAL_1,Tue-03
383.0,COAL_2,Tue-03
0.0,DIESEL_1,Tue-03
87.0,DIESEL_2,Tue-03
20.0,DIESEL_3,Tue-03
12.0,DIESEL_4,Tue-03
220.0,GAS_1,Tue-03
210.0,GAS_2,Tue-03
165.0,GAS_3,Tue-03
158.0,GAS_4,Tue-03
0.0,COAL_1,Tue-04
385.0,COAL_2,Tue-04
0.0,DIESEL_1,Tue-04
87.0,DIESEL_2,Tue-04
